authors,year,exposure_type,epigenetic_marker,epigenetic_effect_size,population_size,country,pmid
Tian S; Chen M,2024,nutritional,Other epigenetic marker,0.3,200,Unspecified,38803501
Rahman MM; Wu H; Tollefsbol TO,2024,nutritional,Other epigenetic marker,0.75,200,Unspecified,38802425
Zhou Y; Wang Q; Yin T; Zhao D; Zhou G; Sun X; Tan C; Zhou L; Yao S,2024,nutritional,DNA methylation,0.476,200,Unspecified,38775076
Su J; Lin X; Li D; Yang C; Lv S; Chen X; Yang X; Pan B; Xu R; Ren L; Zhang Y; Xie Y; Chen Q; Xia C,2024,nutritional,DNA methylation,0.3,200,Unspecified,38773738
Zhu T; Tong H; Du Z; Beck S; Teschendorff AE,2024,nutritional,DNA methylation,0.3,200,Unspecified,38760334
Dutta D; Sen A; Satagopan JM,2024,behavioural,DNA methylation,0.3,200,Unspecified,38751238
Qian F; Li Q; Chang H; Wei K; Chen X; Huang T; Li Y,2024,nutritional,DNA methylation,0.3,200,Unspecified,38730335
Gatenby RA; Luddy KA; Teer JK; Berglund A; Freischel AR; Carr RM; Lam AE; Pienta KJ; Amend SR; Austin RH; Hammarlund EU; Cleveland JL; Tsai KY; Brown JS,2024,nutritional,Other epigenetic marker,0.5,313,Unspecified,38704802
Peronace C; Cione E; Abrego-Guandique DM; Fazio M; Panduri G; Caroleo MC; Cannataro R; Minchella P,2024,nutritional,DNA methylation,0.75,200,Unspecified,38668267
Liang X; Aouizerat BE; So-Armah K; Cohen MH; Marconi VC; Xu K; Justice AC,2024,nutritional,DNA methylation,0.95,1917,Unspecified,38629454
Eltohami Y; Suleiman A,2024,nutritional,Other epigenetic marker,0.613,93,Unspecified,38622532
Xia G; Zhou G; Jiang W; Chu C; Wang L; Moorthy B,2024,nutritional,Other epigenetic marker,0.3,200,Unspecified,38612589
Murphy S; Rahmy S; Gan D; Liu G; Zhu Y; Manyak M; Duong L; He J; Schofield JH; Schafer ZT; Li J; Lu X; Lu X,2024,nutritional,Histone modification,0.3,200,Unspecified,38588411
D'Antona S; Porro D; Gallivanone F; Bertoli G,2024,behavioural,miRNA,0.7,200,Unspecified,38581999
Ding L; Cao S; Qu C; Wu Y; Yu S,2024,nutritional,DNA methylation,0.3,200,Unspecified,38573977
Vermeulen R; Bodinier B; Dagnino S; Wada R; Wang X; Silverman D; Albanes D; Freedman N; Rahman M; Bell D; Chadeau-Hyam M; Rothman N,2024,nutritional,DNA methylation,0.3,200,Unspecified,38554236
Herzog C; Jones A; Evans I; Raut JR; Zikan M; Cibula D; Wong A; Brenner H; Richmond RC; Widschwendter M,2024,behavioural,DNA methylation,0.3,200,Unspecified,38503267
Kurzava Kendall L; Ma Y; Yang T; Lubecka K; Stefanska B,2024,nutritional,DNA methylation,0.3,200,Unspecified,38474826
Ghezzi AC; Passos GR; de Oliveira MG; Oliveira AL; Assis-Mendonça GR; de Mello GC; Antunes E; Monica FZ,2024,nutritional,Histone modification,0.3,200,Unspecified,38452757
Plonski NM; Pan Y; Chen C; Dong Q; Zhang X; Song N; Shelton K; Easton J; Mulder H; Zhang J; Neale G; Walker E; Wang H; Webster R; Brinkman T; Krull KR; Armstrong GT; Ness KK; Hudson MM; Li Q; Huang IC; Wang Z,2024,behavioural,DNA methylation,0.95,32,Unspecified,38445706
Zhao S; Xiao M; Li L; Zhang H; Shan M; Cui S; Zhang L; Zhang G; Wu S; Jin C; Yang J; Lu X,2024,behavioural,miRNA,0.3,200,Unspecified,38438030
Pal S; Kabeer SW; Sharma S; Tikoo K,2024,nutritional,DNA methylation,0.3,200,Unspecified,38367245
Bulut O; Temba GS; Koeken VACM; Moorlag SJCFM; de Bree LCJ; Mourits VP; Kullaya VI; Jaeger M; Qi C; Riksen NP; Domínguez-Andrés J; Xu CJ; Joosten LAB; Li Y; de Mast Q; Netea MG,2024,nutritional,DNA methylation,0.3,200,Unspecified,38364983
Bostanci E; Kirkik D; Kalkanli Tas S; Uyeturk U,2024,nutritional,Other epigenetic marker,0.3,200,Unspecified,38305254
Salma F; Yassire O; Youssef B; Corinne D; Ameziane El Hassani R,2024,nutritional,Chromatin remodeling,0.3,200,Unspecified,38302242
Lismer A; Shao X; Dumargne MC; Lafleur C; Lambrot R; Chan D; Toft G; Bonde JP; MacFarlane AJ; Bornman R; Aneck-Hahn N; Patrick S; Bailey JM; de Jager C; Dumeaux V; Trasler JM; Kimmins S,2024,nutritional,DNA methylation,0.3,870,Unspecified,38294233
Qu Y; Zhang X; Qiao R; Di F; Song Y; Wang J; Ji L; Zhang J; Gu W; Fang Y; Han B; Yang R; Dai L; Ouyang S,2024,nutritional,DNA methylation,0.3,2548,Unspecified,38273401
Han E; Van Horn L; Snetselaar L; Shepherd JA; Park YJ; Kim H; Jung S; Dorgan JF,2024,nutritional,Other epigenetic marker,0.3,200,Unspecified,38270539
Ekanayake Weeramange C; Tang KD; Irwin D; Hartel G; Langton-Lockton J; Ladwa R; Kenny L; Taheri T; Whitfield B; Vasani S; Punyadeera C,2024,nutritional,DNA methylation,0.3,200,Unspecified,38270218
Ma H; Yang L; Liang Y; Liu F; Hu J; Zhang R; Li Y; Yuan L; Feng F,2024,nutritional,Histone modification,0.3,200,Unspecified,38270111
Yang L; Peery RC; Farmer LM; Gao X; Zhang Y; Creighton CJ; Zhang L; Shen L,2024,nutritional,DNA methylation,0.3,200,Unspecified,38259096
Hong JY; Han JH; Jeong SH; Kwak C; Kim HH; Jeong CW,2024,behavioural,Other epigenetic marker,0.774,200,Unspecified,38200428
Liu S; Costa M; Ortiz A,2024,nutritional,Other epigenetic marker,0.3,200,Unspecified,38199052
Hoang TT; Lee Y; McCartney DL; Kersten ETG; Page CM; Hulls PM; Lee M; Walker RM; Breeze CE; Bennett BD; Burkholder AB; Ward J; Brantsæter AL; Caspersen IH; Motsinger-Reif AA; Richards M; White JD; Zhao S; Richmond RC; Magnus MC; BIOS Consortium; Koppelman GH; Evans KL; Marioni RE; Håberg SE; London SJ,2024,nutritional,DNA methylation,0.5,200,Unspecified,38199042
Agudelo MC; Agudelo S; Lorincz A; Ramírez AT; Castañeda KM; Garcés-Palacio I; Zea AH; Piyathilake C; Sanchez GI,2024,nutritional,DNA methylation,0.95,155,Unspecified,38129362
Gallardo-Gómez M; Costas-Ríos L; Garcia-Prieto CA; Álvarez-Rodríguez L; Bujanda L; Barrero M; Castells A; Balaguer F; Jover R; Esteller M; Tardío Baiges A; González-Carreró Fojón J; Cubiella J; De Chiara L,2024,nutritional,DNA methylation,0.914,200,Unspecified,38129291
Kadowaki H; Akazawa H; Shindo A; Ueda T; Ishida J; Komuro I,2024,behavioural,Other epigenetic marker,0.3,200,Unspecified,38092383
Pelland-St-Pierre L; Pham MC; Nguyen AQH; Pasquet R; Taylor SA; Bosson-Rieutort D; Koushik A; Ho V,2024,behavioural,DNA methylation,0.3,200,Unspecified,38051301
Slowly M; Domingo-Relloso A; Santella RM; Haack K; Fallin DM; Terry MB; Rhoades DA; Herreros-Martinez M; Garcia-Esquinas E; Cole SA; Tellez-Plaza M; Navas-Acien A; Wu HC,2024,nutritional,DNA methylation,0.95,21,Unspecified,38010586
Hanlon MA; Gulati R; Johnston M; Fleifil Y; Rivas M; Timchenko NA,2024,nutritional,Other epigenetic marker,0.3,200,Unspecified,37967813
Roy P; Kandel R; Sawant N; Singh KP,2024,nutritional,DNA methylation,0.3,200,Unspecified,37858609
Tahara S; Tahara T; Yamazaki J; Shijimaya T; Horiguchi N; Funasaka K; Fukui T; Nakagawa Y; Shibata T; Naganuma M; Tsukamoto T; Ohmiya N,2024,nutritional,DNA methylation,0.3,200,Unspecified,37846801
Li W; Zhou C; Yu L; Hou Z; Liu H; Kong L; Xu Y; He J; Lan J; Ou Q; Fang Y; Lu Z; Wu X; Pan Z; Peng J; Lin J,2024,nutritional,Histone modification,0.3,200,Unspecified,37615625
